frame,class_id,conf,x1,y1,x2,y2
1, 17, 0.36, 0.148847, 0.491565, 0.406890, 0.722897
1, 17, 0.25, 0.407809, 0.380543, 0.599944, 0.513165
1, 12, 0.34, 0.703130, 0.447645, 1.224742, 1.377111
1, 12, 0.32, 0.488576, 0.494002, 1.488576, 1.494002
1, 3, 0.56, 0.694819, 0.308809, 0.799840, 0.425075
1, 3, 0.46, 0.902056, 0.567619, 1.094330, 0.906577
1, 3, 0.29, 0.602144, 0.310415, 0.641835, 0.414310
2, 6, 0.26, 0.147065, 0.491912, 0.410905, 0.726819
2, 17, 0.28, 0.410904, 0.380985, 0.584421, 0.520947
2, 12, 0.32, 0.487906, 0.494344, 1.487906, 1.494344
2, 12, 0.31, 0.701988, 0.446944, 1.218624, 1.370290
2, 3, 0.58, 0.700883, 0.307969, 0.791570, 0.428841
2, 3, 0.36, 0.902295, 0.567434, 1.088679, 0.921377
2, 3, 0.32, 0.601682, 0.309965, 0.639451, 0.414916
2, 3, 0.26, 0.628211, 0.320232, 0.650830, 0.409445
3, 17, 0.43, 0.147360, 0.491445, 0.404195, 0.722167
3, 17, 0.34, 0.411649, 0.381899, 0.581794, 0.531035
3, 12, 0.29, 0.703603, 0.446282, 1.194707, 1.328805
3, 3, 0.58, 0.703773, 0.306810, 0.786790, 0.428305
3, 3, 0.40, 0.902177, 0.568247, 1.087787, 0.911886
3, 3, 0.28, 0.601670, 0.309461, 0.638918, 0.415134
4, 17, 0.41, 0.147253, 0.492731, 0.407576, 0.719699
4, 17, 0.28, 0.411057, 0.381557, 0.580453, 0.526325
4, 12, 0.30, 0.703649, 0.447823, 1.216845, 1.367312
4, 12, 0.29, 0.435301, 0.447683, 1.293907, 1.447683
4, 3, 0.52, 0.702558, 0.306140, 0.788551, 0.424226
4, 3, 0.51, 0.903132, 0.565234, 1.092792, 0.911751
5, 17, 0.37, 0.147670, 0.492945, 0.405695, 0.722256
5, 12, 0.26, 0.487903, 0.495940, 1.487903, 1.495940
5, 12, 0.26, 0.703716, 0.448609, 1.219982, 1.338331
5, 3, 0.62, 0.699495, 0.305664, 0.792061, 0.423232
5, 3, 0.54, 0.901544, 0.564784, 1.090929, 0.890391
5, 3, 0.39, 0.601296, 0.308954, 0.638155, 0.413399
6, 6, 0.28, 0.143740, 0.493560, 0.407668, 0.724216
6, 12, 0.28, 0.437153, 0.494106, 1.375742, 1.494106
6, 12, 0.26, 0.703729, 0.447163, 1.214975, 1.321480
6, 3, 0.65, 0.696811, 0.304878, 0.797089, 0.422387
6, 3, 0.53, 0.901960, 0.568348, 1.093560, 0.905560
6, 3, 0.44, 0.600912, 0.308634, 0.638051, 0.413626
7, 6, 0.27, 0.139766, 0.492667, 0.396420, 0.727301
7, 17, 0.26, 0.407402, 0.380633, 0.596837, 0.517699
7, 12, 0.38, 0.704467, 0.446689, 1.236955, 1.343645
7, 3, 0.66, 0.696622, 0.304615, 0.796217, 0.421815
7, 3, 0.51, 0.902037, 0.569454, 1.094772, 0.919444
7, 3, 0.44, 0.600600, 0.308056, 0.637843, 0.412609
8, 6, 0.30, 0.143091, 0.493979, 0.407425, 0.743471
8, 17, 0.26, 0.405788, 0.379945, 0.611827, 0.509092
8, 3, 0.72, 0.692266, 0.304550, 0.801376, 0.419966
8, 3, 0.43, 0.900198, 0.567655, 1.093826, 0.908674
8, 3, 0.33, 0.601249, 0.308305, 0.635633, 0.422588
8, 3, 0.27, 0.138651, 0.334530, 0.285558, 0.441981
9, 17, 0.39, 0.141787, 0.494856, 0.378756, 0.805164
9, 6, 0.35, 0.142681, 0.494505, 0.411304, 0.751347
9, 17, 0.30, 0.409798, 0.380568, 0.609581, 0.502231
9, 3, 0.66, 0.690944, 0.304945, 0.797855, 0.420659
9, 3, 0.34, 0.899685, 0.566788, 1.096191, 0.912508
9, 3, 0.28, 0.600673, 0.307974, 0.635768, 0.419903
10, 6, 0.34, 0.139601, 0.495689, 0.415408, 0.757335
10, 17, 0.34, 0.410218, 0.380925, 0.605105, 0.507888
10, 12, 0.31, 0.490689, 0.497734, 1.412841, 1.497734
10, 3, 0.54, 0.689632, 0.304604, 0.797088, 0.418509
10, 3, 0.25, 0.885074, 0.561037, 1.105834, 0.905956
11, 17, 0.42, 0.138324, 0.493863, 0.388427, 0.815457
11, 6, 0.37, 0.138335, 0.493839, 0.424115, 0.762854
11, 17, 0.38, 0.407698, 0.380845, 0.602087, 0.503196
11, 3, 0.58, 0.690525, 0.306315, 0.790255, 0.424154
11, 3, 0.40, 0.131126, 0.333479, 0.268875, 0.435049
11, 3, 0.27, 0.878012, 0.566584, 1.115216, 0.922616
12, 6, 0.36, 0.133454, 0.495036, 0.411866, 0.747285
12, 17, 0.33, 0.401151, 0.379444, 0.590734, 0.500611
12, 12, 0.36, 0.490303, 0.496269, 1.490303, 1.496269
12, 3, 0.61, 0.691048, 0.305175, 0.778946, 0.428371
12, 3, 0.36, 0.596500, 0.310769, 0.632968, 0.424018
13, 17, 0.47, 0.130180, 0.496098, 0.366804, 0.804355
13, 6, 0.31, 0.129583, 0.495833, 0.406071, 0.753173
13, 17, 0.31, 0.402191, 0.379243, 0.560041, 0.501640
13, 12, 0.43, 0.488659, 0.494440, 1.488659, 1.494440
13, 12, 0.37, 0.700021, 0.448992, 1.246730, 1.406270
13, 3, 0.44, 0.691658, 0.305498, 0.772366, 0.425171
13, 3, 0.38, 0.900425, 0.569847, 1.092886, 0.912394
14, 17, 0.45, 0.132715, 0.498165, 0.374961, 0.811129
14, 6, 0.35, 0.132867, 0.498031, 0.415400, 0.757282
14, 17, 0.32, 0.394709, 0.379672, 0.590002, 0.504575
14, 12, 0.43, 0.489200, 0.493474, 1.489200, 1.493474
14, 3, 0.45, 0.677619, 0.307788, 0.781790, 0.432345
14, 3, 0.35, 0.123901, 0.335096, 0.281289, 0.446462
15, 17, 0.41, 0.126271, 0.497748, 0.359566, 0.798608
15, 6, 0.27, 0.125829, 0.497254, 0.393447, 0.755864
15, 17, 0.33, 0.391732, 0.378446, 0.587949, 0.515956
15, 12, 0.34, 0.491616, 0.493037, 1.491616, 1.493037
15, 3, 0.32, 0.675232, 0.308500, 0.776706, 0.429706
16, 17, 0.43, 0.124137, 0.497979, 0.350225, 0.793726
16, 6, 0.31, 0.123498, 0.497078, 0.381058, 0.754216
16, 17, 0.32, 0.391721, 0.379341, 0.570874, 0.523130
16, 12, 0.47, 0.490025, 0.491244, 1.490025, 1.491244
16, 3, 0.40, 0.692891, 0.308410, 0.765399, 0.435304
17, 6, 0.31, 0.119894, 0.499891, 0.369564, 0.759924
17, 17, 0.49, 0.396095, 0.384959, 0.549190, 0.523692
